Car,Year,Price,Color,Fuel,Origin,License,Gear,Glass,Power,Meter,Passengers,Payment,Previous_owners,Condition,Central_locking,Alarm,Radio,Sunroof,Magnesium_wheels,Leather_seats,Airbag,For_sale,For_exchange
Hyundai,2006,55000,أبيض,0,خصوصي,1,2,1,2000,3,5,0,2,1,1,1,1,0,1,1,1,1,0
Volkswagen,1982,4000,خمري,1,تأجير,1,0,1,1300,3,5,0,2,0,0,0,0,0,0,0,0,1,0
Hyundai,2008,66000,سكني,0,خصوصي,1,2,1,2000,3,6,0,2,1,1,1,1,1,1,0,1,1,0
Hyundai,2015,68000,سكني,1,خصوصي,1,2,1,1400,4,5,0,0,1,1,0,1,0,1,1,1,1,0
Skoda,2016,95000,أبيض,0,خصوصي,1,0,1,1600,3,5,1,0,1,1,1,1,0,1,0,1,1,0
Renault,1983,7000,كحلي,1,خصوصي,1,0,0,1100,3,5,1,2,0,0,0,0,0,0,0,0,1,0
Peugeot,2011,57000,أبيض عاجي,0,خصوصي,1,0,1,1600,1,5,0,1,1,1,1,1,0,0,1,1,1,0
Peugeot,1984,7500,أبيض عاجي,1,خصوصي,1,0,0,1300,4,5,0,0,0,0,0,1,0,0,1,0,1,0
Hyundai,2007,42000,أبيض,1,خصوصي,1,2,1,1400,3,5,0,1,1,1,1,1,0,0,0,1,1,0
BMW,1994,25000,كحلي,1,خصوصي,1,0,1,2000,2,5,1,5,1,1,1,1,1,1,1,1,1,0
Hyundai,2014,60000,أسود ميتالك,1,خصوصي,1,2,1,1400,3,5,0,1,1,1,1,1,0,1,1,1,1,1
Peugeot,2007,38500,فضي,1,خصوصي,1,2,1,1600,3,5,0,5,1,1,1,1,0,1,0,1,1,1
Hyundai,2008,55000,رصاصي,0,خصوصي,1,2,1,1600,3,5,0,2,1,1,1,1,0,1,1,1,1,0
Volkswagen,2010,87000,أبيض عاجي,1,خصوصي,1,1,1,2000,3,6,1,2,1,1,1,1,1,1,1,1,1,1
Kia,2013,120000,فضي,0,خصوصي,1,1,1,2200,3,7,0,2,1,1,1,1,0,1,1,0,1,0
Volkswagen,2000,36000,أبيض,1,خصوصي,1,0,1,1600,3,5,0,2,1,1,1,1,0,1,1,1,1,0
